"코드","종목명","액면가"
"143860","TIGER 헬스케어","0"
"293480","하나제약","500"
"037710","광주신세계","1,000"
"271980","제일약품","500"
"390390","KODEX 미국반도체MV","0"
"402970","ACE 미국배당다우존스","0"
"367770","KBSTAR Fn수소경제테마","0"
"334890","이지스밸류리츠","1,000"
"007860","서연","500"
"096760","JW홀딩스","500"
"036420","콘텐트리중앙","5,000"
"476450","히어로즈 머니마켓액티브","0"
"092230","KPX홀딩스","5,000"
"011760","현대코퍼레이션","5,000"
"000050","경방","500"
"580046","KB 블룸버그 인버스2X 천연가스선물 ETN(H)","0"
"500074","신한 블룸버그 -2X 천연가스 선물 ETN(H)","0"
"001130","대한제분","5,000"
"102260","동성케미컬","1,000"
"143850","TIGER 미국S&P500선물(H)","0"
"071840","롯데하이마트","5,000"
"000155","두산우","5,000"
"450140","코오롱모빌리티그룹","500"
"011280","태림포장","500"
"001520","동양","500"
"377190","디앤디플랫폼리츠","1,000"
"030210","다올투자증권","5,000"
"004360","세방","500"
"422420","KBSTAR 2차전지액티브","0"
"404990","신한서부티엔디리츠","1,000"
"530107","삼성 인버스 2X 코스닥150 선물 ETN","0"
"015360","예스코홀딩스","5,000"
"446770","ACE 글로벌반도체TOP4 Plus SOLACTIVE","0"
"068290","삼성출판사","500"
"008060","대덕","500"
"005720","넥센","500"
"455860","SOL 2차전지소부장Fn","0"
"117580","대성에너지","1,000"
"025000","KPX케미칼","5,000"
"462330","KODEX 2차전지산업레버리지","0"
"001250","GS글로벌","2,500"
"451000","ARIRANG 종합채권(AA-이상)액티브","0"
"464540","KBSTAR 25-03 회사채(AA-이상)액티브","0"
"457480","ACE 테슬라밸류체인액티브","0"
"471230","KODEX 국고채10년액티브","0"
"019680","대교","500"
"194370","제이에스코퍼레이션","100"
"109070","주성코퍼레이션","500"
"456610","TIGER 미국달러SOFR금리액티브(합성)","0"
"462520","조선내화","500"
"500077","신한 인버스0.5X S&P500 VIX S/T선물 ETN","0"
"003200","일신방직","500"
"039570","HDC랩스","500"
"004980","성신양회","5,000"
"074610","이엔플러스","500"
"005945","NH투자증권우","5,000"
"091230","TIGER 반도체","0"
"006840","AK홀딩스","5,000"
"448880","ACE 24-12 회사채(AA-이상)액티브","0"
"015860","일진홀딩스","1,000"
"035510","신세계 I&C","500"
"449180","KODEX 미국S&P500(H)","0"
"004710","한솔테크닉스","5,000"
"020120","키다리스튜디오","500"
"002020","코오롱","5,000"
"339770","교촌에프앤비","500"
"011785","금호석유우","5,000"
"095570","AJ네트웍스","1,000"
"471760","TIGER AI반도체핵심공정","0"
"000500","가온전선","5,000"
"000140","하이트진로홀딩스","5,000"
"200250","KOSEF 인도Nifty50(합성)","0"
"417310","코람코더원리츠","500"
"090350","노루페인트","500"
"451600","ARIRANG 국고채30년액티브","0"
"011330","유니켐","500"
"02826","삼성물산우B","100"
"469820","SOL 24-12 회사채(AA-이상)액티브","0"
"010955","S-Oil우","2,500"
"077500","유니퀘스트","500"
"044450","KSS해운","500"
"011000","진원생명과학","1,000"
"009155","삼성전기우","5,000"
"361580","KBSTAR 200TR","0"
"003555","LG우","5,000"
"234080","JW생명과학","2,500"
"007160","사조산업","5,000"
"002390","한독","500"
"001080","만호제강","1,000"
"027970","한국제지","1,000"
"002100","경농","500"
"192090","TIGER 차이나CSI300","0"
"267850","아시아나IDT","500"
"081000","일진다이아","1,000"
"409820","KODEX 미국나스닥100레버리지(합성 H)","0"
"385550","KBSTAR 단기종합채권(AA-이상)액티브","0"
"448290","TIGER 미국S&P500TR(H)","0"
"570043","한투 레버리지 나스닥 100 ETN","0"
"388420","KBSTAR 비메모리반도체액티브","0"
"009580","무림P&P","2,500"
"460850","동국씨엠","5,000"
"053690","한미글로벌","500"
"005680","삼영전자","500"
"016610","DB금융투자","5,000"
"332940","HANARO MSCI Korea TR","0"
"372330","KODEX 차이나항셍테크","0"
"363280","티와이홀딩스","500"
"760005","키움 INDXX 미국테크탑10 ETN","0"
"328370","ARIRANG 코스피TR","0"
"464230","히어로즈 24-09 회사채(AA-이상)액티브","0"
"016450","한세예스24홀딩스","500"
"004250","NPC","500"
"100250","진양홀딩스","500"
"092790","넥스틸","500"
"000390","삼화페인트","500"
"097955","CJ제일제당 우","5,000"
"028100","동아지질","500"
"107590","미원홀딩스","500"
"002990","금호건설","5,000"
