"코드","종목명","액면가"
"457550","우진엔텍","500"
"036890","진성티이씨","500"
"092730","네오팜","500"
"365590","하이딥","100"
"472850","폰드그룹","500"
"033340","좋은사람들","500"
"063570","한국전자금융","500"
"042520","한스바이오메드","500"
"322510","제이엘케이","100"
"225530","보광산업","500"
"073490","이노와이어리스","500"
"452190","한빛레이저","100"
"080580","오킨스전자","500"
"389260","대명에너지","100"
"206560","덱스터","500"
"262260","에이프로","500"
"067000","조이시티","500"
"078150","HB테크놀러지","500"
"096240","크레버스","500"
"230240","에치에프알","500"
"109610","에스와이","500"
"011040","경동제약","500"
"037070","파세코","500"
"038540","상상인","1,000"
"251370","와이엠티","500"
"035810","이지홀딩스","500"
"023760","한국캐피탈","500"
"294570","쿠콘","500"
"084990","헬릭스미스","500"
"149950","아바텍","500"
"063170","서울옥션","500"
"013990","아가방컴퍼니","500"
"203650","드림시큐리티","100"
"091440","한울소재과학","500"
"408900","스튜디오미르","100"
"025950","동신건설","500"
"370090","퓨런티어","500"
"019210","와이지-원","500"
"234690","녹십자웰빙","500"
"043610","지니뮤직","500"
"234340","헥토파이낸셜","500"
"192440","슈피겐코리아","500"
"246710","티앤알바이오팹","500"
"065560","녹원씨엔아이","500"
"131400","이브이첨단소재","500"
"036560","영풍정밀","500"
"046210","HLB파나진","500"
"239890","피엔에이치테크","500"
"016790","카나리아바이오","100"
"315640","딥노이드","500"
"418470","밀리의서재","500"
"125210","아모그린텍","500"
"194700","노바렉스","500"
"338840","와이바이오로직스","500"
"090710","휴림로봇","500"
"424960","스마트레이더시스템","500"
"277880","티에스아이","500"
"418420","라온텍","100"
"024810","이화전기","200"
"033170","시그네틱스","500"
"094820","일진파워","500"
"033230","인성정보","500"
"030960","양지사","500"
"136540","윈스","500"
"033290","코웰패션","500"
"085670","뉴프렉스","500"
"264450","유비쿼스","500"
"067990","도이치모터스","500"
"382800","지앤비에스 에코","500"
"311320","지오엘리먼트","500"
"065510","휴비츠","500"
"023600","삼보판지","500"
"236200","슈프리마","500"
"090470","제이스텍","500"
"451220","아이엠티","500"
"182400","엔케이맥스","500"
"310200","애니플러스","100"
"080420","모다이노칩","500"
"214180","헥토이노베이션","500"
"066980","한성크린텍","500"
"138610","나이벡","500"
"068930","디지털대성","500"
"027710","팜스토리","500"
"396470","워트","100"
"005860","한일사료","500"
"388050","지투파워","500"
"029480","광무","500"
"376190","LB루셈","500"
"023910","대한약품","500"
"119830","아이텍","500"
"110790","크리스에프앤씨","500"
"453860","에이에스텍","500"
"205100","엑셈","100"
"348150","고바이오랩","500"
"068790","DMS","500"
"290550","디케이티","500"
"036190","금화피에스시","500"
"084730","팅크웨어","500"
"121440","골프존뉴딘홀딩스","500"
"100130","동국S&C","500"
"356680","엑스게이트","100"
"362320","청담글로벌","500"
"203400","에이비온","500"
"417500","제이아이테크","100"
"086960","MDS테크","200"
"377480","마음AI","500"
"048550","SM C&C","500"
"355390","크라우드웍스","1,000"
"432470","케이엔에스","100"
"044340","위닉스","500"
"114840","아이패밀리에스씨","500"
"006620","동구바이오제약","500"
"317870","엔바이오니아","500"
"439580","블루엠텍","100"
"950220","네오이뮨텍","0"
"300120","라온피플","500"
"013310","아진산업","500"
"377450","리파인","100"
"092130","이크레더블","500"
"389140","포바이포","500"
"419050","삼기이브이","100"
"360350","코셈","500"
"170920","엘티씨","500"
"104480","티케이케미칼","500"
"065680","우주일렉트로","500"
"208370","셀바스헬스케어","500"
"382900","범한퓨얼셀","500"
"156100","엘앤케이바이오","500"
"072770","율호","500"
"092190","서울바이오시스","500"
"006910","보성파워텍","500"
"383930","디티앤씨알오","500"
"102370","케이옥션","500"
"112290","와이씨켐","1,000"
"340930","유일에너테크","500"
"314130","지놈앤컴퍼니","500"
"099440","스맥","500"
"950190","고스트스튜디오","0"
"078940","퀀타피아","500"
"014470","부방","500"
"060560","홈센타홀딩스","500"
"049720","고려신용정보","500"
"079960","동양이엔피","500"
"023900","풍국주정","500"
"300080","플리토","500"
"162300","신스틸","100"
"228850","레이언스","500"
"039560","다산네트웍스","500"
"123420","위메이드플레이","500"
"137950","제이씨케미칼","500"
"109740","디에스케이","500"
"214260","라파스","500"
"274090","켄코아에어로스페이스","500"
"226330","신테카바이오","500"
"040910","아이씨디","500"
"251630","브이원텍","500"
"261200","덴티스","500"
"273640","와이엠텍","500"
"036010","아비코전자","500"
"259630","엠플러스","500"
"012700","리드코프","500"
"065450","빅텍","200"
"082800","비보존 제약","2,500"
"036630","세종텔레콤","1,000"
"255440","야스","500"
"019550","SBI인베스트먼트","500"
"140070","서플러스글로벌","100"
"294090","이오플로우","100"
"073010","케이에스피","500"
"282720","금양그린파워","500"
"149980","하이로닉","100"
"123410","코리아에프티","100"
"090850","현대이지웰","500"
"195990","에이비프로바이오","500"
"337930","브랜드엑스코퍼레이션","500"
"088800","에이스테크","500"
"032860","더라미","500"
"138080","오이솔루션","500"
"007330","푸른저축은행","1,000"
"140670","알에스오토메이션","500"
"021080","에이티넘인베스트","500"
"054620","APS","500"
"294630","서남","500"
"066700","테라젠이텍스","500"
"048910","대원미디어","500"
"053580","웹케시","500"
"012860","모베이스전자","500"
"039980","폴라리스AI","500"
"183490","엔지켐생명과학","500"
"291230","엔피","100"
"024060","흥구석유","100"
"065660","안트로젠","500"
"059270","해성티피씨","500"
"082850","우리바이오","500"
"060310","3S","500"
"419080","엔젯","500"
"302430","이노메트리","500"
"391710","코닉오토메이션","100"
"104540","코렌텍","500"
"018000","유니슨","500"
"250060","모비스","100"
"272110","케이엔제이","500"
"332570","와이팜","500"
"014940","오리엔탈정공","500"
"159010","아스플로","500"
"052260","현대바이오랜드","500"
"347860","알체라","500"
"071280","로체시스템즈","500"
"191420","테고사이언스","500"
"267320","나인테크","100"
"074430","아미노로직스","100"
"006580","대양제지","500"
"064820","케이프","500"
"037460","삼지전자","500"
"105760","포스뱅크","500"
"159580","제로투세븐","500"
"026150","특수건설","500"
"216050","인크로스","500"
"038390","레드캡투어","500"
"042510","라온시큐어","500"
"071200","인피니트헬스케어","500"
"311690","CJ 바이오사이언스","500"
"086820","바이오솔루션","500"
"382480","지아이텍","100"
"269620","시스웍","100"
"047820","초록뱀미디어","5,000"
"217190","제너셈","500"
"347890","엠투아이","100"
"261780","차백신연구소","500"
"419530","SAMG엔터","500"
"366030","공구우먼","100"
"039340","한국경제TV","500"
"054050","농우바이오","500"
"072870","메가스터디","500"
"078140","대봉엘에스","500"
"036710","심텍홀딩스","500"
"411080","샌즈랩","100"
"371950","풍원정밀","500"
"105330","케이엔더블유","500"
"051160","지어소프트","500"
"353810","이지바이오","100"
"067900","와이엔텍","500"
"041590","플래스크","500"
"361390","제노코","500"
"115160","휴맥스","500"
"293780","압타바이오","500"
"005710","대원산업","500"
"443250","레뷰코퍼레이션","500"
"035610","솔본","500"
"900250","크리스탈신소재","0"
"099750","이지케어텍","500"
"059210","메타바이오메드","500"
"234920","자이글","500"
"206400","베노티앤알","500"
"304360","에스바이오메딕스","500"
"307930","컴퍼니케이","500"
"417790","트루엔","100"
"053280","예스24","500"
"241520","DSC인베스트먼트","500"
"236810","엔비티","100"
"164060","이루다","500"
"124560","태웅로직스","100"
"241790","오션브릿지","500"
"120240","대정화금","500"
"256940","케이피에스","500"
"317770","엑스페릭스","500"
"115180","큐리언트","500"
"263860","지니언스","500"
"173130","오파스넷","500"
"446540","메가터치","500"
"054780","키이스트","500"
"061040","알에프텍","500"
"053700","삼보모터스","500"
"452160","제이엔비","100"
"003100","선광","1,000"
"100700","세운메디칼","100"
"357580","아모센스","500"
"058400","KNN","500"
"038880","아이에이","100"
"417840","저스템","500"
"108380","대양전기공업","500"
"203690","스피어파워","500"
"215090","휴센텍","100"
"105550","트루윈","500"
"178780","일월지엠엘","500"
"089850","유비벨록스","500"
"148140","비디아이","500"
"199550","레이저옵텍","500"
"264660","씨앤지하이테크","500"
